Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
 Check Filter button for Shipping Module,RR-77,10116,Story,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 9:10 AM,07/Sep/21 9:07 AM,09/Sep/21 6:05 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,;07/Sep/21 9:07 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;2400,2400,0,2400,100%,2400,0,2400,,,RR-52,RR-78,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000e:zzr,,RR Sprint 1,,,,,,,,Done
 Verify the Other Status functionality with Arrow key of keyboard,RR-76,10115,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 9:08 AM,09/Sep/21 5:26 AM,09/Sep/21 6:05 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-51,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000mf:,,RR Sprint 1,,,,,,,,Done
 Verify the Other status functionality with blank space,RR-75,10114,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 9:06 AM,09/Sep/21 5:31 AM,09/Sep/21 6:05 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-50,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000m7:,,RR Sprint 1,,,,,,,,Done
Verify the Other status functionality with drop down list,RR-74,10113,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 6:49 AM,09/Sep/21 5:27 AM,09/Sep/21 6:05 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-49,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000lz:,,RR Sprint 1,,,,,,,,Done
Check Other Status functionality for Shipping Module,RR-73,10112,Story,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 6:47 AM,07/Sep/21 9:06 AM,09/Sep/21 6:05 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,;07/Sep/21 9:06 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;2400,2400,0,2400,100%,2400,0,2400,,,RR-48,RR-74,RR-75,RR-76,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000e:zzi,,RR Sprint 1,,,,,,,,Done
 Verify the Group by functionality with Arrow key of keyboard,RR-72,10111,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 6:46 AM,09/Sep/21 5:34 AM,09/Sep/21 6:05 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-47,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000lj:,,RR Sprint 1,,,,,,,,Done
 Verify the group by functionality with blank space,RR-71,10110,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 6:37 AM,09/Sep/21 5:26 AM,09/Sep/21 6:06 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-46,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000lb:,,RR Sprint 1,,,,,,,,Done
  Verify the group by functionality with drop down list,RR-70,10109,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 6:32 AM,09/Sep/21 5:29 AM,09/Sep/21 6:06 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-45,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000l3:,,RR Sprint 1,,,,,,,,Done
Check the Group By functionality for Shipping module,RR-69,10108,Story,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 6:29 AM,07/Sep/21 9:06 AM,09/Sep/21 6:06 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,;07/Sep/21 9:06 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;2400,2400,0,2400,100%,2400,0,2400,,,RR-44,RR-70,RR-71,RR-72,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000e:zz,,RR Sprint 1,,,,,,,,Done
Verify the Date End functionality with manual input,RR-67,10106,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 6:26 AM,09/Sep/21 5:27 AM,09/Sep/21 6:06 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-43,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000kn:,,RR Sprint 1,,,,,,,,Done
