Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the default Result pages,RR-55,10094,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:51 AM,09/Sep/21 5:24 AM,09/Sep/21 6:07 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-32,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000i7:,,RR Sprint 1,,,,,,,,Done
 Check the result pages for Tax Module,RR-54,10093,Story,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:49 AM,07/Sep/21 9:05 AM,09/Sep/21 6:07 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,;07/Sep/21 9:05 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;2400,2400,0,2400,100%,2400,0,2400,,,RR-29,RR-55,RR-56,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000e:zv,,RR Sprint 1,,,,,,,,Done
 Verify the filter button with click,RR-53,10092,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:47 AM,09/Sep/21 5:41 AM,09/Sep/21 6:07 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-27,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000hr:,,RR Sprint 1,,,,,,,,Done
 Check Filter button for Tax Module,RR-52,10091,Story,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:46 AM,07/Sep/21 9:05 AM,09/Sep/21 6:07 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,;07/Sep/21 9:05 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;2400,2400,0,2400,100%,2400,0,2400,,,RR-26,RR-53,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000e:zr,,RR Sprint 1,,,,,,,,Done
Verify the Other Status functionality with Arrow key of keyboard,RR-51,10090,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:45 AM,09/Sep/21 5:30 AM,09/Sep/21 6:07 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-25,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000hb:,,RR Sprint 1,,,,,,,,Done
Verify the Other status functionality with blank space,RR-50,10089,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:44 AM,09/Sep/21 5:33 AM,09/Sep/21 6:07 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-23,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000h3:,,RR Sprint 1,,,,,,,,Done
Verify the Other status functionality with drop down list,RR-49,10088,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:42 AM,09/Sep/21 5:44 AM,09/Sep/21 6:08 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-22,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000gv:,,RR Sprint 1,,,,,,,,Done
 Check Other Status functionality for Tax Module,RR-48,10087,Story,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:41 AM,07/Sep/21 9:04 AM,09/Sep/21 6:08 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,;07/Sep/21 9:04 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;2400,2400,0,2400,100%,2400,0,2400,,,RR-21,RR-22,RR-23,RR-49,RR-50,RR-51,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000e:zi,,RR Sprint 1,,,,,,,,Done
 Verify the Group by functionality with Arrow key of keyboard,RR-47,10086,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:39 AM,09/Sep/21 5:44 AM,09/Sep/21 6:08 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-24,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000gf:,,RR Sprint 1,,,,,,,,Done
 Verify the group by functionality with blank space,RR-46,10085,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:37 AM,09/Sep/21 5:44 AM,09/Sep/21 6:08 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-18,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000g7:,,RR Sprint 1,,,,,,,,Done
 Verify the group by functionality with drop down list,RR-45,10084,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:36 AM,09/Sep/21 5:34 AM,09/Sep/21 6:08 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-17,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fz:,,RR Sprint 1,,,,,,,,Done
Check the Group By functionality for Tax module,RR-44,10083,Story,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:31 AM,07/Sep/21 9:04 AM,09/Sep/21 6:08 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,;07/Sep/21 9:04 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;2400,2400,0,2400,100%,2400,0,2400,,,RR-14,RR-17,RR-18,RR-24,RR-45,RR-46,RR-47,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000e:z,,RR Sprint 1,,,,,,,,Done
 Verify the Date End functionality with manual input,RR-43,10082,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:28 AM,09/Sep/21 5:45 AM,09/Sep/21 6:08 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-16,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fj:,,RR Sprint 1,,,,,,,,Done
 Verify the Date Start functionality with manual input,RR-42,10081,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:26 AM,09/Sep/21 5:45 AM,09/Sep/21 6:08 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-15,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fb:,,RR Sprint 1,,,,,,,,Done
 Verify the Date End  with Blank Space,RR-41,10080,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:23 AM,09/Sep/21 5:40 AM,09/Sep/21 6:08 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-13,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000f3:,,RR Sprint 1,,,,,,,,Done
Verify   Date End  box with proper format,RR-40,10079,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:22 AM,09/Sep/21 5:46 AM,09/Sep/21 6:08 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-12,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ev:,,RR Sprint 1,,,,,,,,Done
 Verify Date End  box with calendar icon,RR-39,10078,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:14 AM,09/Sep/21 5:40 AM,09/Sep/21 6:09 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-11,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000en:,,RR Sprint 1,,,,,,,,Done
Check for Date End functionalities for Tax module,RR-38,10077,Story,Blocked,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:08 AM,08/Sep/21 8:10 AM,09/Sep/21 6:08 AM,,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,;07/Sep/21 9:04 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;2400,2400,0,2400,100%,2400,0,2400,,,RR-10,RR-7,RR-8,RR-9,RR-11,RR-12,RR-13,RR-16,RR-39,RR-40,RR-41,RR-43,,,,,,,,,,,,,,{},,,,,,,0|i0000e:y,,RR Sprint 1,,,,,,,,In Progress
Verify the Date Start  with Blank Space,RR-37,10076,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:02 AM,09/Sep/21 5:38 AM,09/Sep/21 6:09 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-9,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000e7:,,RR Sprint 1,,,,,,,,Done
 Verify Date Start  box with proper format,RR-36,10075,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:01 AM,09/Sep/21 5:39 AM,09/Sep/21 6:09 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-8,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000dz:,,RR Sprint 1,,,,,,,,Done
 Verify Date Start  box with calendar icon,RR-35,10074,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 10:59 AM,09/Sep/21 5:47 AM,09/Sep/21 6:10 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-7,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000dr:,,RR Sprint 1,,,,,,,,Done
Check for Date Start functionalities for Tax module,RR-34,10073,Story,Blocked,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 10:58 AM,08/Sep/21 8:09 AM,09/Sep/21 6:10 AM,,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,;07/Sep/21 9:03 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;2400,2400,0,2400,100%,2400,0,2400,,,RR-6,RR-7,RR-8,RR-9,RR-15,RR-35,RR-36,RR-37,RR-42,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000e:x,,RR Sprint 1,,,,,,,,In Progress
 Verify the pagination ,RR-33,10072,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 10:09 AM,09/Sep/21 5:42 AM,09/Sep/21 6:10 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-32,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000db:,,RR Sprint 1,,,,,,,,Done
Verify the default Result pages,RR-32,10071,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 10:04 AM,09/Sep/21 5:24 AM,09/Sep/21 6:10 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000d3:,,RR Sprint 1,,,,,,,,Done
Check the result pages for Order Module,RR-29,10068,Story,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 9:16 AM,07/Sep/21 9:03 AM,09/Sep/21 6:10 AM,07/Sep/21 8:47 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,;07/Sep/21 9:03 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;2400,2400,0,2400,100%,2400,0,2400,,,,RR-32,RR-33,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000e:u,,RR Sprint 1,,,,,,,,Done
Verify the filter button with click,RR-27,10066,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 5:40 AM,09/Sep/21 5:41 AM,09/Sep/21 6:10 AM,07/Sep/21 8:48 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000bz:,,RR Sprint 1,,,,,,,,Done
Check Filter button for Order Module,RR-26,10065,Story,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 5:38 AM,07/Sep/21 9:02 AM,09/Sep/21 6:10 AM,07/Sep/21 8:48 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,;07/Sep/21 9:02 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;2400,2400,0,2400,100%,2400,0,2400,,,,RR-27,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000e:r,,RR Sprint 1,,,,,,,,Done
 Verify the Other Status functionality with Arrow key of keyboard,RR-25,10064,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 5:29 AM,09/Sep/21 5:57 AM,09/Sep/21 6:10 AM,07/Sep/21 8:48 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-24,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000bj:,,RR Sprint 1,,,,,,,,Done
Verify the Group by functionality with Arrow key of keyboard,RR-24,10063,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 5:24 AM,09/Sep/21 5:57 AM,09/Sep/21 6:10 AM,07/Sep/21 8:48 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000bb:,,RR Sprint 1,,,,,,,,Done
  Verify the Other status functionality with blank space,RR-23,10062,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 5:21 AM,09/Sep/21 5:35 AM,09/Sep/21 6:10 AM,07/Sep/21 8:48 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-18,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000b3:,,RR Sprint 1,,,,,,,,Done
 Verify the Other status functionality with drop down list,RR-22,10061,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 5:06 AM,09/Sep/21 5:58 AM,09/Sep/21 6:10 AM,07/Sep/21 8:48 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-17,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000av:,,RR Sprint 1,,,,,,,,Done
Check Other Status functionality for Order Module,RR-21,10060,Story,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 5:03 AM,07/Sep/21 9:02 AM,09/Sep/21 6:10 AM,07/Sep/21 8:48 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,;07/Sep/21 9:02 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;2400,2400,0,2400,100%,2400,0,2400,,,,RR-22,RR-23,RR-25,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000e:i,,RR Sprint 1,,,,,,,,Done
 Verify the group by functionality with blank space,RR-18,10057,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,02/Sep/21 12:17 PM,09/Sep/21 5:35 AM,09/Sep/21 6:10 AM,07/Sep/21 8:48 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-17,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000af:,,RR Sprint 1,,,,,,,,Done
Verify the group by functionality with drop down list,RR-17,10056,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,02/Sep/21 12:14 PM,09/Sep/21 5:35 AM,09/Sep/21 6:10 AM,07/Sep/21 8:48 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000a7:,,RR Sprint 1,,,,,,,,Done
 Verify the Date End functionality with manual input,RR-16,10055,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,02/Sep/21 12:12 PM,09/Sep/21 5:59 AM,09/Sep/21 6:10 AM,07/Sep/21 8:48 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-15,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0009z:,,RR Sprint 1,,,,,,,,Done
Verify the Date Start functionality with manual input,RR-15,10054,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,02/Sep/21 12:03 PM,09/Sep/21 5:59 AM,09/Sep/21 6:10 AM,07/Sep/21 8:48 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0009r:,,RR Sprint 1,,,,,,,,Done
Check the Group By functionality for Order module,RR-14,10053,Story,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,02/Sep/21 12:00 PM,07/Sep/21 9:02 AM,09/Sep/21 6:10 AM,07/Sep/21 8:48 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,;07/Sep/21 9:02 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;2400,2400,0,2400,100%,2400,0,2400,,,,RR-17,RR-18,RR-24,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000e:,,RR Sprint 1,,,,,,,,Done
Verify the Date End  with Blank Space,RR-13,10052,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,02/Sep/21 11:33 AM,09/Sep/21 5:39 AM,09/Sep/21 6:10 AM,07/Sep/21 8:48 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-9,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0009b:,,RR Sprint 1,,,,,,,,Done
